exp,direct_test_acc_mean,direct_test_acc_std,ft_test_acc_mean,ft_test_acc_std,ft_macro_f1_mean,ft_best_val_acc_mean
tune_f_small_model,0.8354126522721054,0.015453638784083984,0.8409539033182948,0.0012562643799150547,0.8409490067861526,0.9078544816814299
tune_b_low_lr,0.828819301575528,0.00670095163695797,0.8323228648118631,0.0065286637311802115,0.8322870073499465,0.8922008756571277
tune_a_stable,0.8279306523894281,0.012101113136587018,0.832315300138102,0.007949439860067947,0.8322424160271998,0.88331025673341
