exp,seed,direct_test_acc,ft_test_acc,ft_test_macro_f1,ft_best_val_acc,delta_ft_minus_direct,model_direct,model_ft,out_dir
tune_f_small_model,42,0.8289177489177489,0.8401731601731601,0.840171243222497,0.9101853621249761,0.011255411255411185,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_f_small_model\seed_42\direct_binary_best.pth,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_f_small_model\seed_42\finetune_binary_best.pth,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_f_small_model\seed_42
tune_b_low_lr,42,0.8344588744588745,0.8322077922077922,0.8321961996227636,0.87368622205236,-0.0022510822510822814,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_b_low_lr\seed_42\direct_binary_best.pth,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_b_low_lr\seed_42\finetune_binary_best.pth,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_b_low_lr\seed_42
tune_a_stable,42,0.820952380952381,0.8308225108225108,0.8307947281926975,0.8681444678004968,0.009870129870129807,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_a_stable\seed_42\direct_binary_best.pth,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_a_stable\seed_42\finetune_binary_best.pth,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_a_stable\seed_42
tune_d_soft_reg,42,0.8244155844155844,0.8301298701298702,0.8301293607821766,0.9105675520733805,0.005714285714285783,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_d_soft_reg\seed_42\direct_binary_best.pth,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_d_soft_reg\seed_42\finetune_binary_best.pth,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_d_soft_reg\seed_42
tune_e_pretrain_focus,42,0.8015584415584416,0.8204329004329004,0.8203116736990155,0.8767437416395949,0.01887445887445882,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_e_pretrain_focus\seed_42\direct_binary_best.pth,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_e_pretrain_focus\seed_42\finetune_binary_best.pth,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_e_pretrain_focus\seed_42
tune_c_no_noise,42,0.7904761904761904,0.8204329004329004,0.8204311559286976,0.8882094400917255,0.02995670995670996,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_c_no_noise\seed_42\direct_binary_best.pth,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_c_no_noise\seed_42\finetune_binary_best.pth,c:\Users\ldy34\Desktop\Face\ML\experiments_ab_2gpu_tuning\tune_c_no_noise\seed_42
